t,n,n_female,n_male,n_accepted,n_failed_match,n_sterile,n_eggs,n_viable,mean_pairwise_phi,heterozygosity_qtl,F,cluster_count,matriline_count,n_extinct_clusters,Ne_hat,n_eval_hook,viability,fertility,courtship,locomotion
0,1000,502,498,0,0,0,1000,1000,0.0,1.0,0.0,3,1000,0,0.0,0,0.962045221742875,0.9973733914919812,0.0,0.9798745507829235
1,1000,483,517,361,141,0,2888,2651,0.0006079517017017016,1.0,0.0,33,354,0,430.29544614084216,8,0.9178622729524981,0.9895999429601154,0.9320594050588613,0.9701526164646546
2,1000,492,508,375,108,0,2958,2605,0.0011847159659659659,0.981625,0.01837500000000003,55,250,4,451.98875050220965,8,0.8850052010165954,0.9804370273534253,0.9050137682314913,0.9603732097632407
3,1000,508,492,380,112,0,2949,2516,0.0017866303803803804,0.955125,0.044875,95,190,7,432.69807023852326,8,0.8609774695590905,0.9793688314788661,0.8796398964610376,0.9564358687802762
4,1000,499,501,383,125,0,2964,2491,0.0023874186686686687,0.925875,0.074125,105,154,9,426.2579475317611,8,0.8425171341851719,0.9764101208048652,0.8648686301344487,0.9538327399224266
5,1000,504,496,386,113,0,2972,2450,0.0030182995495495494,0.9155,0.08450000000000002,110,126,5,428.0977583165251,8,0.8283984924902564,0.9713660862034487,0.8532511909340696,0.9465572478905558
6,1000,499,501,388,116,0,2975,2398,0.003712274774774775,0.901375,0.09862499999999996,114,116,5,421.5832334524436,8,0.8081850958170856,0.9714617788140505,0.8357768815329957,0.9451287353453314
7,1000,486,514,377,122,0,2889,2296,0.004396771771771772,0.9003125,0.09968750000000004,111,104,2,428.0491147124283,8,0.8013758998066558,0.963122976227034,0.8326338708210134,0.9366206667686012
8,1000,478,522,367,119,0,2738,2163,0.005198792542542543,0.8764375,0.12356250000000002,115,94,2,390.5908350104688,8,0.789167755652354,0.9623584722456183,0.8038738325994798,0.9345608077549927
9,1000,479,521,378,100,0,2815,2236,0.005880568068068068,0.85425,0.14575000000000005,101,83,1,428.9368140445256,8,0.7893054490167989,0.9660346209922538,0.7941017708862707,0.9357831138209166
10,1000,522,478,386,93,0,2920,2296,0.006757695195195195,0.842125,0.157875,92,75,2,440.30591739757443,8,0.794276755103198,0.9696458431968581,0.8013730497052838,0.9402096728420168
11,1000,468,532,379,143,0,2896,2347,0.007610203953953954,0.837125,0.162875,94,70,3,443.410321473332,8,0.8042265054697755,0.963614915452761,0.8052540571769335,0.9319536448413531
12,1000,494,506,384,84,0,2892,2294,0.008099474474474474,0.82025,0.17974999999999997,89,66,1,449.16658543717705,8,0.7953830653132952,0.9603442702336784,0.7880932077456143,0.9274992283170077
13,1000,531,469,380,114,0,2836,2221,0.008840277777777778,0.8176875,0.1823125,74,63,3,435.6746319092445,8,0.7844896912994008,0.9604284691956941,0.768529692978981,0.9268298634108864
14,1000,510,490,381,150,0,2836,2266,0.009627909159159159,0.8146875,0.1853125,76,58,2,441.65513044801094,8,0.8000285643925602,0.9615204533001964,0.7655626969330556,0.9270686587657255
15,1000,491,509,382,128,0,2866,2344,0.010369150400400401,0.8263125,0.1736875,85,55,1,439.53541608935046,8,0.8053454128535724,0.9654986201573718,0.7725102695988726,0.9290676543397762
16,1000,480,520,383,108,0,2899,2303,0.011268393393393394,0.79475,0.20525000000000004,81,55,1,437.45582617356996,8,0.7944444797626635,0.9550985660696458,0.7729375573364795,0.9179262701389287
17,1000,512,488,374,106,0,2755,2187,0.011974912412412412,0.7993125,0.20068750000000002,89,52,1,416.8981509078554,8,0.794261965415714,0.963693049794988,0.7451505530685468,0.9246944828495518
18,1000,481,519,375,137,0,2808,2226,0.012979448198198199,0.787125,0.21287500000000004,98,50,1,419.150521609538,8,0.7930014247100392,0.9585503852989395,0.7595249213491969,0.9185819321682598
19,1000,485,515,381,100,0,2826,2216,0.013735704454454455,0.7751875,0.22481249999999997,99,50,1,428.7334493075512,8,0.7802178872538302,0.9587525076025224,0.7431835642266177,0.9169162181829705
20,1000,508,492,377,108,0,2793,2209,0.014414695945945947,0.7505,0.24950000000000006,89,48,2,435.46558654836025,8,0.7843809570527759,0.9554219912851759,0.7353412285950155,0.9121045945426979
21,1000,512,488,386,122,0,2872,2234,0.015083833833833833,0.74625,0.25375000000000003,73,46,4,432.41392119987927,8,0.7810471932798303,0.9605881716982811,0.733771287760644,0.9129825940087039
22,1000,499,501,371,141,0,2766,2164,0.015628253253253253,0.769875,0.23012500000000002,82,44,1,398.3716777276424,8,0.7796022389359538,0.9611114633890601,0.7329556308605216,0.9154257869023514
23,1000,512,488,381,118,0,2870,2197,0.0163765015015015,0.7426875,0.25731250000000006,80,43,0,448.4125267976845,8,0.7730893627648454,0.9579568271422029,0.7410116184166587,0.9115133733163963
24,1000,502,498,384,128,0,2845,2230,0.017377877877877878,0.74225,0.25775000000000003,73,39,1,428.13342005017194,8,0.7863337608493677,0.9586360776322972,0.7148942182013234,0.9095219190889277
25,1000,512,488,389,113,0,2913,2232,0.018315221471471473,0.7348125,0.2651875,68,37,0,435.2920194113874,8,0.7579850119987851,0.9587183016193539,0.717245216195767,0.9115643528940384
26,1000,520,480,384,128,0,2852,2228,0.019288726226226228,0.72975,0.27025,65,34,0,428.6112919728397,8,0.7785961368627996,0.9640765436863485,0.7131285980723708,0.9126889446828294
27,1000,508,492,378,142,0,2846,2221,0.020709177927927928,0.7259375,0.2740625,65,34,0,425.5565020044199,8,0.7841987736638729,0.9701641728917992,0.7223096317978936,0.9191900396320669
28,1000,528,472,370,138,0,2827,2198,0.021874280530530532,0.7114375,0.28856250000000006,77,34,0,419.1928470818789,8,0.7757401363795251,0.9607500200720089,0.7313027257577985,0.9092183855886182
29,1000,499,501,382,146,0,2855,2218,0.02333624249249249,0.6725625,0.32743750000000005,81,33,0,408.9500204581505,8,0.7664253247361126,0.9575735308220977,0.7100247531391586,0.9071017215539012
