t,n,n_female,n_male,n_accepted,n_failed_match,n_sterile,n_eggs,n_viable,mean_pairwise_phi,heterozygosity_qtl,F,cluster_count,matriline_count,n_extinct_clusters,Ne_hat,n_eval_hook,viability,fertility,courtship,locomotion
0,1000,502,498,0,0,0,1000,1000,0.0,1.0,0.0,3,1000,0,0.0,0,0.962045221742875,0.9973733914919812,0.0,0.9798745507829235
1,1000,466,534,498,4,0,3984,3678,0.00042623873873873875,1.0,0.0,11,461,0,585.8934258148039,8,0.9246841151122754,0.9916220742282998,0.9266038377296109,0.9728436244979234
2,1000,497,503,466,0,0,3686,3386,0.0008942067067067068,1.0,0.0,25,307,2,541.206846706742,8,0.9150092203184679,0.9871822857865816,0.9083832409198311,0.9669231454458591
3,1000,520,480,497,0,0,3898,3550,0.0013492242242242243,0.9989375,0.0010624999999999662,32,230,1,562.8769942096424,8,0.9062849759257902,0.9849689566164475,0.8887717865164032,0.9636355546515666
4,1000,504,496,480,40,0,3756,3413,0.0018180993493493492,0.9981875,0.0018124999999999947,46,194,0,565.1491365777081,8,0.9094949104160913,0.987571953747882,0.8813604387124445,0.9647609330623198
5,1000,504,496,496,8,0,3905,3520,0.0022471846846846845,0.9980625,0.0019375000000000364,58,166,0,587.7226511734577,8,0.8976971382666145,0.9849815570190232,0.8785037886331026,0.9624019195136091
6,1000,498,502,496,8,0,3881,3483,0.0027242867867867866,0.9979375,0.002062499999999967,60,142,1,548.1053719744768,8,0.892099989631885,0.9858788623451943,0.8707035517622763,0.9618722561639229
7,1000,510,490,498,0,0,3909,3478,0.003168606106106106,0.99775,0.0022499999999999742,50,118,1,563.3586537762593,8,0.8951650954101201,0.9849587367022539,0.8668440090513475,0.9593376470694434
8,1000,496,504,490,20,0,3839,3373,0.0036351664164164165,0.9966875,0.0033125000000000515,79,106,0,541.6807670614777,8,0.8845045185454441,0.9859520046431961,0.8628765116731848,0.9595999305725493
9,1000,507,493,496,0,0,3898,3449,0.00409105980980981,0.996375,0.0036249999999999893,75,97,0,583.5737057841202,8,0.8852686690869133,0.9832897249670882,0.8577293132042395,0.9555305710798226
10,1000,520,480,493,14,0,3858,3400,0.004597566316316316,0.9951875,0.004812499999999997,71,93,0,519.6030434475873,8,0.8788685975036756,0.9844323248401479,0.8492489470122808,0.9552081444720348
11,1000,508,492,480,40,0,3761,3281,0.005120276526526526,0.9960625,0.003937500000000038,65,84,1,554.6995377503853,8,0.876215980487197,0.9785667614904044,0.8438410374909265,0.9475294778041018
12,1000,493,507,492,16,0,3811,3334,0.005614364364364364,0.9948125,0.0051875000000000115,74,74,0,550.4957700354771,8,0.8688957111686552,0.9770250149638446,0.8274952716432943,0.9463655902236299
13,1000,474,526,493,0,0,3816,3313,0.006051207457457458,0.9954375,0.004562500000000025,61,68,0,545.4739280119576,8,0.8653953233111058,0.9757662692600425,0.8156856932074071,0.9451255647659675
14,1000,501,499,474,0,0,3664,3163,0.006551207457457457,0.9930625,0.006937500000000041,60,60,0,504.71295455974985,8,0.863357064909858,0.977912226151514,0.8103899277823885,0.94601936866982
15,1000,506,494,499,2,0,3873,3327,0.007086398898898899,0.994125,0.005874999999999964,46,58,0,560.04741265882,8,0.8586945638925163,0.9757273706827773,0.8113207870007212,0.9431414578632641
16,1000,477,523,494,12,0,3814,3284,0.007594438188188188,0.9933125,0.006687499999999957,37,56,0,569.87665391639,8,0.859713422825846,0.9745589665963615,0.796193748691287,0.9418029845022529
17,1000,516,484,477,0,0,3682,3119,0.008106043543543544,0.992,0.008000000000000007,41,54,0,520.2981900504225,8,0.8482295779605865,0.9755261281959665,0.7904995955155033,0.9418127388649125
18,1000,518,482,484,32,0,3741,3179,0.008586524024024024,0.993,0.007000000000000006,34,53,0,539.6111674191468,8,0.8429294020325859,0.9729585902734051,0.7924215632018161,0.9396734793892172
19,1000,491,509,482,36,0,3707,3146,0.008958552302302303,0.9925625,0.007437499999999986,40,51,0,541.7826843340004,8,0.8444859007522844,0.9719398218249816,0.7794553643310969,0.937599791548337
20,1000,521,479,491,0,0,3770,3138,0.00941382007007007,0.9906875,0.009312499999999946,26,47,0,564.581928207434,8,0.8332628177018339,0.9710475854044835,0.7798616971621761,0.9355863085757792
21,1000,524,476,479,42,0,3677,3152,0.009791666666666667,0.9900625,0.009937500000000044,31,46,0,532.1284115999035,8,0.8522231628334774,0.9699087576542793,0.7743352634710633,0.9336166569064009
22,1000,483,517,476,48,0,3643,3028,0.010261136136136136,0.9916875,0.008312499999999945,23,43,0,505.533342853063,8,0.8355507929543178,0.9735161932149882,0.764480923171395,0.934428816277642
23,1000,513,487,483,0,0,3718,3115,0.010577733983983983,0.9901875,0.009812500000000002,8,41,0,540.3873460472033,8,0.8362720795149782,0.9724001448219192,0.76708666315804,0.9329687435168114
24,1000,521,479,487,26,0,3741,3016,0.011224537037037036,0.988625,0.011375000000000024,22,40,0,567.3967391954449,8,0.8180537725779148,0.9704507717604287,0.7631494497573666,0.930158650982793
25,1000,497,503,479,42,0,3674,3018,0.011745151401401402,0.990625,0.009375000000000022,14,39,0,525.1279398705495,8,0.8214940806785254,0.9680833881023169,0.752227629964229,0.9274567004706878
26,1000,492,508,497,0,0,3776,3138,0.012173204454454455,0.9905625,0.009437499999999988,14,39,0,581.9918948211676,8,0.8258301972688835,0.9651610527619667,0.7386437270641075,0.9264570668006068
27,1000,489,511,492,0,0,3737,3058,0.01265309059059059,0.98925,0.010750000000000037,16,39,0,568.9572501715822,8,0.8231086062066582,0.968949710060526,0.7366544349554489,0.9254325182583104
28,1000,507,493,489,0,0,3741,3020,0.013155436686686686,0.98625,0.01375000000000004,16,35,0,527.7898561120909,8,0.8100344485441119,0.9660951218880213,0.7352165401512951,0.9240948203610112
29,1000,484,516,493,14,0,3744,3066,0.013663131881881882,0.9880625,0.011937500000000045,12,35,0,533.6645924546696,8,0.8131797116407373,0.968925537377902,0.7289936741074272,0.9246191589189202
30,1000,523,477,484,0,0,3690,3011,0.014194788538538538,0.985875,0.014125000000000054,11,33,0,537.2154035261526,8,0.8174764852164407,0.9676538228866428,0.7300665657399619,0.9261956846319331
31,1000,524,476,477,46,0,3638,2933,0.014497685185185185,0.987,0.013000000000000012,10,30,0,563.9751337256282,8,0.8059024605405635,0.9656309671227032,0.7312896167982548,0.9220464066179037
32,1000,518,482,476,48,0,3604,2904,0.015000093843843845,0.9856875,0.01431249999999995,11,29,1,539.3279823283536,8,0.8089671176836506,0.9649968374235279,0.7112417824465256,0.9233474398775297
33,1000,516,484,482,36,0,3641,2993,0.015715997247247246,0.9841875,0.015812500000000007,9,29,0,528.1291202546033,8,0.8179801005139169,0.9650080941927052,0.7131607214269768,0.9235171137730523
34,1000,487,513,484,32,0,3652,2996,0.016399524524524523,0.9864375,0.013562500000000033,4,29,0,543.8555760890763,8,0.8186663358666819,0.9678125749741139,0.7058583899997231,0.9265270306283954
35,1000,503,497,487,0,0,3707,2975,0.01672747747747748,0.985,0.015000000000000013,6,29,0,533.8121464889161,8,0.8011491076885693,0.9675822135914132,0.7074706271186144,0.924058127506472
36,1000,487,513,497,6,0,3781,3086,0.01707132132132132,0.98425,0.015750000000000042,10,26,0,558.4496916203947,8,0.8088277142347305,0.962621175457543,0.7026128091180502,0.9211403481328765
37,1000,500,500,487,0,0,3675,2917,0.017612956706706706,0.9856875,0.01431249999999995,7,26,0,544.5563650474024,8,0.7962129932209917,0.9657688002001444,0.6877410636170419,0.9233914004392753
38,1000,515,485,500,0,0,3792,3046,0.01821509009009009,0.9828125,0.017187500000000022,4,26,0,574.052812858783,8,0.7952406016979621,0.9619850156238429,0.6927349890684424,0.9168497450225574
