t,n,n_female,n_male,n_accepted,n_failed_match,n_sterile,n_eggs,n_viable,mean_pairwise_phi,heterozygosity_qtl,F,cluster_count,matriline_count,n_extinct_clusters,Ne_hat,n_eval_hook,viability,fertility,courtship,locomotion
0,1000,507,493,0,0,0,1000,1000,0.0,1.0,0.0,4,1000,0,0.0,0,0.9628996181749062,0.9974035222453997,0.0,0.9801838782755781
1,1000,497,503,372,135,0,2976,2752,0.0006131443943943944,1.0,0.0,32,355,1,427.6284887889051,8,0.9206111699667203,0.9906776550370803,0.9336203560239016,0.9718882013297228
2,1000,480,520,372,125,0,2932,2641,0.0012040477977977978,0.98025,0.019750000000000045,69,232,5,419.90532831654326,8,0.8952380625546579,0.9815136306583568,0.9013092998907,0.9613070366919642
3,1000,510,490,382,98,0,2958,2524,0.0018663976476476476,0.9534375,0.04656249999999995,88,177,11,431.5899061838229,8,0.860385095005643,0.9818503195077535,0.868374971894689,0.9598116817772925
4,1000,500,500,375,135,0,2914,2437,0.0026275337837837836,0.9300625,0.06993749999999999,96,146,4,423.40986074520134,8,0.8403548197130947,0.9759650357595696,0.8681442508331012,0.9516731107049988
5,1000,515,485,382,118,0,2940,2505,0.003234734734734735,0.9044375,0.0955625,106,124,5,428.2033675487556,8,0.8499787408844895,0.9771745560186481,0.8477028619678819,0.9502897605184005
6,1000,514,486,387,128,0,2997,2470,0.004008883883883884,0.8869375,0.11306249999999995,119,104,2,422.4843157609677,8,0.8200871541341814,0.9678788121862235,0.84950512750684,0.9405722514280187
7,1000,493,507,380,134,0,2869,2350,0.004808589839839839,0.8865625,0.11343749999999997,119,95,7,451.72996308577865,8,0.8225394003026649,0.9697678059678383,0.8166950591576744,0.9415574921025882
8,1000,538,462,385,108,0,2931,2405,0.005542010760760761,0.868625,0.13137500000000002,98,81,4,431.4698647881584,8,0.8170333608094142,0.9655195806172026,0.820308162647666,0.9370643446417422
9,1000,495,505,374,164,0,2813,2283,0.006260291541541542,0.85525,0.14475000000000005,91,74,2,433.82357502186545,8,0.8102376150501486,0.9695099289948482,0.8060257586370079,0.9393305493921268
10,1000,511,489,390,105,0,2961,2358,0.006843906406406406,0.8556875,0.14431249999999995,93,65,1,437.24486862530904,8,0.7953555236403618,0.9610522116894576,0.8034227737381501,0.9304239750653129
11,1000,512,488,391,120,0,2921,2348,0.007549393143143143,0.8455,0.15449999999999997,88,64,0,422.1424528171639,8,0.8033418426733852,0.9583170314189879,0.7800066609344494,0.9267377817418776
12,1000,516,484,368,144,0,2741,2220,0.008332175925925925,0.837625,0.16237500000000005,89,60,1,419.9454229719672,8,0.8064651419681063,0.963130162865737,0.7781356638977278,0.931544057013173
13,1000,527,473,390,126,0,2935,2342,0.009127627627627628,0.8239375,0.1760625,89,60,0,468.77889416260865,8,0.7975352482700252,0.9575584600711642,0.7851382284043168,0.926059015116599
14,1000,500,500,387,140,0,2863,2250,0.009832394894894896,0.8028125,0.19718749999999996,69,56,3,432.88090131856575,8,0.7970918863319808,0.9600518945015354,0.7682486202745704,0.9269103817497716
15,1000,488,512,387,113,0,2887,2291,0.010305336586586587,0.81825,0.18174999999999997,87,53,3,433.85147505272187,8,0.7889767822564022,0.9674522052708963,0.7734550575558231,0.9334060147841032
16,1000,500,500,394,94,0,2981,2316,0.011118368368368369,0.7969375,0.20306250000000003,83,51,2,432.9839397979505,8,0.7820657519271556,0.9619226859265277,0.777526215279886,0.9267202945698236
17,1000,532,468,370,130,0,2775,2182,0.011837243493493493,0.78225,0.21775,68,50,1,418.71845847988993,8,0.7813323638814551,0.9568375322408753,0.7611009802916098,0.9211357874182404
18,1000,510,490,381,151,0,2831,2187,0.012696477727727728,0.7924375,0.20756249999999998,81,47,0,410.2667733119289,8,0.7768529258672996,0.9623023153976171,0.7451198562140077,0.9267946420399273
19,1000,478,522,380,130,0,2842,2195,0.013408158158158158,0.7598125,0.2401875,56,47,1,430.7361889989261,8,0.7843545616102178,0.9573304269437298,0.7543964366906855,0.9199260009718544
20,1000,469,531,374,104,0,2783,2197,0.014124843593593594,0.7829375,0.21706250000000005,75,44,4,413.6703200506308,8,0.7866040994758454,0.9594091246098749,0.744046148600507,0.9241493936781008
21,1000,511,489,378,91,0,2819,2219,0.015155593093093092,0.7591875,0.24081249999999998,61,40,1,422.7012123327792,8,0.7789147343470417,0.9586996492409622,0.7416520815645675,0.9239712900273154
22,1000,478,522,383,128,0,2861,2198,0.01623439064064064,0.7543125,0.24568749999999995,60,40,0,434.9717410256258,8,0.7770781442111775,0.9595996667633021,0.7429109282518033,0.9232506769583309
23,1000,484,516,395,83,0,2943,2301,0.0172441504004004,0.7470625,0.25293750000000004,66,38,0,439.77958171261065,8,0.7838744327694933,0.9609048792739895,0.7370479995269841,0.923629473291119
24,1000,465,535,385,99,0,2879,2233,0.01850656906906907,0.747125,0.25287499999999996,66,36,0,434.88146931111373,8,0.7822650308582234,0.962847142337781,0.7335625380449337,0.9231351993345224
