t,n,n_female,n_male,n_accepted,n_failed_match,n_sterile,n_eggs,n_viable,mean_pairwise_phi,heterozygosity_qtl,F,cluster_count,matriline_count,n_extinct_clusters,Ne_hat,n_eval_hook,viability,fertility,courtship,locomotion
0,1000,507,493,0,0,0,1000,1000,0.0,1.0,0.0,4,1000,0,0.0,0,0.9628996181749062,0.9974035222453997,0.0,0.9801838782755781
1,1000,501,499,493,14,0,3944,3628,0.0004249874874874875,1.0,0.0,10,450,1,584.260830685058,8,0.9178627313755563,0.9896927955298188,0.9294760331135332,0.9708060744929724
2,1000,519,481,499,2,0,3932,3623,0.0008485047547547547,1.0,0.0,15,312,0,565.7622081451253,8,0.916374141449712,0.9897182626434652,0.9024384810706302,0.9696480150398036
3,1000,531,469,481,38,0,3794,3467,0.0012915415415415416,0.999875,0.00012500000000004174,27,230,1,532.9646027892062,8,0.9109077691581613,0.987679835363375,0.8933587919606547,0.9674513782049968
4,1000,491,509,469,62,0,3686,3338,0.0017279154154154154,0.9989375,0.0010624999999999662,41,196,1,531.8051700627642,8,0.9078212442904523,0.9866437494150375,0.8842908720154126,0.9637714239781037
5,1000,534,466,491,0,0,3858,3473,0.0021909409409409408,0.9993125,0.000687499999999952,52,162,0,556.2667429642055,8,0.89575308636422,0.9869422901685034,0.8811087738995524,0.9632139398596271
6,1000,504,496,466,68,0,3662,3271,0.002660472972972973,0.99725,0.00275000000000003,50,134,1,513.7598183022617,8,0.88404356746786,0.9835974653554213,0.8724768545885597,0.9594897371857328
7,1000,507,493,496,8,0,3876,3443,0.0031295983483483484,0.9981875,0.0018124999999999947,66,122,0,530.5178897974674,8,0.8862452740030575,0.9847396633923821,0.8654155829181224,0.9584683650789045
8,1000,517,483,493,14,0,3865,3363,0.003608858858858859,0.9953125,0.004687499999999956,77,111,1,537.7392512550251,8,0.8709654116474531,0.9791737724797854,0.8606077346393673,0.9522868233886971
9,1000,528,472,483,34,0,3745,3219,0.004062875375375375,0.995125,0.004874999999999963,71,97,1,563.7233106834592,8,0.8651300120372735,0.9802873109985237,0.8423677845535367,0.952360431742362
10,1000,502,498,472,56,0,3666,3215,0.004517861611611612,0.9955,0.0044999999999999485,76,91,0,561.4516129032259,8,0.8743186306916868,0.9782702176932007,0.8410460868674359,0.9493092894298485
