t,n,n_female,n_male,n_accepted,n_failed_match,n_sterile,n_eggs,n_viable,mean_pairwise_phi,heterozygosity_qtl,F,cluster_count,matriline_count,n_extinct_clusters,Ne_hat,n_eval_hook,viability,fertility,courtship,locomotion
0,1000,503,497,0,0,0,1000,1000,0.0,1.0,0.0,4,1000,0,0.0,0,0.9625813279257459,0.9975714430052348,0.0,0.9800513841614387
1,1000,499,501,497,6,0,3976,3682,0.0004422234734734735,1.0,0.0,11,452,1,564.7959720310421,8,0.9239040087486882,0.992825837551552,0.9274221585903165,0.9744167482718733
2,1000,490,510,499,0,0,3958,3645,0.0008674612112112112,1.0,0.0,20,318,1,579.5613506285538,8,0.9187937293610172,0.9886247026439989,0.9122367998224395,0.9693673902824371
3,1000,504,496,490,0,0,3856,3488,0.0013259196696696696,0.9995,0.0004999999999999449,41,239,5,539.2960625322881,8,0.9043753665397488,0.9852917195541093,0.8943090160204318,0.9648102835059026
4,1000,507,493,496,8,0,3878,3455,0.0018648335835835836,0.9990625,0.0009375000000000355,38,186,2,512.9608006672227,8,0.8913450127375037,0.9845873822724911,0.8766565350346469,0.9617877220842604
5,1000,495,505,493,14,0,3850,3412,0.002322603853853854,0.9985625,0.0014374999999999805,54,158,2,546.0781295988819,8,0.8929466322925668,0.9833024752713035,0.8721918134665024,0.9597954916030561
6,1000,509,491,495,0,0,3861,3449,0.0027353916416416415,0.998125,0.00187499999999996,51,139,1,553.7538419815586,8,0.8929395910121976,0.9869702135266403,0.8651611818855272,0.9620575110597669
7,1000,508,492,491,18,0,3860,3461,0.0031763013013013015,0.997875,0.0021250000000000435,70,120,3,561.3545287952629,8,0.8959845000656047,0.9852094456329994,0.8647178120178516,0.9597149111213014
8,1000,519,481,492,16,0,3856,3414,0.003625125125125125,0.9969375,0.003062499999999968,57,108,0,565.6864028117931,8,0.8836571650381347,0.9833480145634846,0.859516567996148,0.9573576443775271
9,1000,511,489,481,38,0,3758,3319,0.004088744994994995,0.9969375,0.003062499999999968,61,91,0,550.0292415734343,8,0.8868685570863828,0.9844505113506805,0.8501937514498609,0.9574418483622978
10,1000,501,499,489,22,0,3832,3377,0.004488113113113113,0.996625,0.003375000000000017,73,87,0,580.4119082005413,8,0.877480104772979,0.9805604886233407,0.8498334583862646,0.9524977585610407
11,1000,497,503,499,2,0,3883,3334,0.004914633383383383,0.9945,0.005499999999999949,67,83,0,561.9394732684887,8,0.8644749450547344,0.9812765450913256,0.8343418447356603,0.9497552264528704
12,1000,503,497,497,0,0,3866,3368,0.005358577327327327,0.9960625,0.003937500000000038,59,80,0,535.5812470999441,8,0.8716039408499628,0.9817902840835178,0.8255960034445201,0.951449196332667
13,1000,508,492,497,6,0,3877,3345,0.005816285035035035,0.9929375,0.007062499999999972,59,76,0,572.6045370881222,8,0.8623524773798963,0.9777274079808579,0.8234872919299211,0.9489266847332074
14,1000,505,495,492,16,0,3812,3289,0.006227727727727728,0.99575,0.004249999999999976,54,67,0,566.3375602451921,8,0.8627804148206598,0.9798509547346023,0.8184531421518086,0.9473104642924104
15,1000,479,521,495,10,0,3853,3299,0.006657751501501502,0.9935625,0.006437499999999985,48,61,0,564.4891894071164,8,0.8554257827250176,0.9773423367765249,0.8103636425508363,0.9460475798589014
16,1000,474,526,479,0,0,3711,3174,0.007076514014014014,0.9929375,0.007062499999999972,42,57,0,515.5201351706597,8,0.8516147985344716,0.9742703711754772,0.8016314223985792,0.941114016543191
17,1000,496,504,474,0,0,3657,3111,0.007580424174174174,0.993375,0.006624999999999992,48,53,0,549.7897997836822,8,0.850915592278858,0.9721006687320951,0.7949014114888718,0.9398207437095282
18,1000,477,523,496,0,0,3808,3226,0.008099161661661662,0.992875,0.007125000000000048,30,51,0,555.4712618763773,8,0.8548602181281719,0.971268305233134,0.7818558395400017,0.9384643252548731
19,1000,523,477,477,0,0,3656,3145,0.008608671171171171,0.9908125,0.009187500000000015,34,48,0,523.1513841626046,8,0.8453069003945936,0.9720591819207998,0.778031718849003,0.9399467027208455
20,1000,527,473,477,46,0,3660,3072,0.00909694069069069,0.9901875,0.009812500000000002,23,43,0,542.1797853479993,8,0.8360258209131202,0.9710378515019289,0.7761281635357262,0.9380618955297602
21,1000,512,488,473,54,0,3616,3032,0.009577014514514514,0.9918125,0.008187500000000014,23,41,1,523.2778158497309,8,0.835148151477683,0.9692522613097379,0.7722086470780596,0.9360608599598937
22,1000,487,513,488,24,0,3715,3092,0.010097754004004004,0.99025,0.009750000000000036,18,39,0,526.7647006777441,8,0.8399971570590387,0.9771063589879684,0.7616673036686655,0.9433582022598825
23,1000,521,479,487,0,0,3770,3158,0.010548360860860861,0.98925,0.010750000000000037,15,35,0,526.3124023576196,8,0.8392599061613789,0.9707499021713567,0.7756659628687864,0.9389435318774257
24,1000,492,508,479,42,0,3668,3063,0.010891422672672672,0.989875,0.01012500000000005,22,32,0,529.774274288142,8,0.8369943622818922,0.971022561953597,0.7590903103896128,0.9395077820423894
25,1000,520,480,492,0,0,3771,3149,0.011299017767767768,0.986875,0.013125000000000053,21,31,0,543.2023409870204,8,0.8414611331164923,0.9701188840094158,0.7590352397054689,0.938794237050266
26,1000,508,492,480,40,0,3662,3080,0.011681087337337337,0.9890625,0.010937500000000044,13,31,0,518.7319884726226,8,0.840007113400556,0.970662518027463,0.7556303736146693,0.9383493312002344
27,1000,488,512,492,16,0,3767,3163,0.01220310935935936,0.9895625,0.010437499999999988,9,31,0,550.4957700354771,8,0.8379146092879126,0.9677522807679938,0.7489055455023007,0.9339848535198401
28,1000,510,490,488,0,0,3712,3087,0.012645364114114115,0.9880625,0.011937500000000045,14,29,0,549.2960345432067,8,0.8320713516439927,0.9649956191571332,0.740086546668495,0.932810865236596
29,1000,506,494,490,20,0,3711,3101,0.01315746996996997,0.9875,0.012499999999999956,5,29,0,566.0866694959211,8,0.8330018552506572,0.9696240914749155,0.7313825896340176,0.9347898337788131
30,1000,490,510,494,12,0,3767,3117,0.013667824074074074,0.986125,0.01387499999999997,13,29,0,548.3683952703461,8,0.827768304888879,0.9658768897165155,0.7322799363850118,0.9310169681665955
31,1000,503,497,490,0,0,3708,3055,0.014196915665665666,0.9855,0.014499999999999957,12,28,0,544.6914700544465,8,0.8207677940840408,0.9651608562728474,0.7264003771907822,0.9326393252636264
32,1000,487,513,497,6,0,3759,3074,0.01474217967967968,0.9870625,0.012937500000000046,8,27,0,556.5735247395803,8,0.8217028963346025,0.9689187173842424,0.7190158261554462,0.9349095109869647
33,1000,464,536,487,0,0,3711,3007,0.015153966466466466,0.9841875,0.015812500000000007,5,25,0,553.8459023590567,8,0.817310957841716,0.9660921126755877,0.7306481006095966,0.9307255894227442
34,1000,533,467,464,0,0,3517,2860,0.015689627127127126,0.9843125,0.015687499999999965,10,25,0,525.830402500977,8,0.8178940136126566,0.9678167905790096,0.71504840801276,0.9327525641337885
35,1000,498,502,467,66,0,3551,2882,0.016152308558558558,0.9835,0.01649999999999996,5,25,0,523.3453557656081,8,0.8152922391029096,0.9619545842651416,0.716579676393362,0.9234133202782091
36,1000,482,518,498,0,0,3731,3013,0.016610266516516516,0.985375,0.014624999999999999,5,25,0,522.5691444753954,8,0.8055602006967147,0.9580811894502731,0.7015693367595711,0.920102239815686
37,1000,517,483,482,0,0,3584,2867,0.01724192942942943,0.98225,0.017750000000000044,3,24,0,536.9542607529988,8,0.7974065965306155,0.9633703930993271,0.6917926359671656,0.9245569695590048
38,1000,494,506,483,34,0,3631,2966,0.017773773773773774,0.9828125,0.017187500000000022,5,23,0,545.2677734589557,8,0.8160269259191496,0.9637356771748365,0.6933700205050413,0.9254827835717626
39,1000,516,484,494,0,0,3730,3023,0.018205361611611612,0.983125,0.016874999999999973,0,23,0,557.0250122116565,8,0.8088802462072665,0.9647876174378652,0.6921795087060675,0.927144262118947
40,1000,497,503,484,32,0,3649,2958,0.018668355855855856,0.978375,0.021625000000000005,3,23,0,566.1201763204701,8,0.8039173300395691,0.9629345760889008,0.6949043191205371,0.924041958563437
41,1000,507,493,497,0,0,3740,2893,0.01921950075075075,0.981625,0.01837500000000003,9,23,0,567.3750557017967,8,0.7868658592156116,0.961192270048075,0.6830072338569498,0.9215212010484815
42,1000,480,520,493,14,0,3699,2987,0.019576232482482483,0.9815,0.01849999999999996,6,23,0,550.9603592534745,8,0.8104842104792643,0.9681481430299443,0.6800949078641734,0.9293406199177909
43,1000,497,503,480,0,0,3665,2929,0.019995745745745745,0.9823125,0.017687499999999967,7,22,0,530.1914580265096,8,0.7895217825593432,0.9599255707923617,0.6908469582305599,0.9210039252096534
44,1000,513,487,497,0,0,3718,3016,0.02040521771771772,0.9788125,0.021187500000000026,2,22,0,542.5978727423699,8,0.8079465050294224,0.9637081568504593,0.6728452186739385,0.92401862729011
45,1000,505,495,487,26,0,3667,2936,0.02069241116116116,0.9791875,0.02081250000000001,3,22,0,554.4764866096999,8,0.7989313915878584,0.9639820444211971,0.6779252205459169,0.925457331505596
46,1000,499,501,495,10,0,3733,2995,0.021100788288288288,0.980875,0.019124999999999948,5,22,0,559.3858798013812,8,0.7875842732208652,0.9549506650269673,0.6703337092608537,0.9131151168058314
47,1000,500,500,499,0,0,3696,2943,0.021330455455455456,0.98075,0.01924999999999999,10,22,0,551.38365740833,8,0.7911900435822348,0.9576409603936159,0.649685020807201,0.9166513891878406
48,1000,493,507,500,0,0,3713,2983,0.021729761011011012,0.9783125,0.02168749999999997,1,22,0,568.8282138794084,8,0.7971783290679074,0.963226547198047,0.655374000600593,0.9229698032399666
